Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:23:07,138 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:07,154 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:07,154 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:23:11,257 [ERROR] log 2184 36888 Internal Server Error: /painting/edit/103/
Traceback (most recent call last):
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\art_portal_app\views.py", line 83, in edit_painting
    painting = Painting.objects.get(pk=pk)
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\venv\lib\site-packages\django\db\models\manager.py", line 85, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\venv\lib\site-packages\django\db\models\query.py", line 496, in get
    raise self.model.DoesNotExist(
art_project.art_portal_app.models.Painting.DoesNotExist: Painting matching query does not exist.
2022-04-07 14:23:11,257 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:11,257 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:11,257 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:11,326 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:11,326 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:11,326 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:11,326 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:11,326 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:11,326 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:11,489 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:11,489 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:11,489 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:11,511 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:11,511 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:11,511 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:50:55,954 [WARNING] log 22656 30424 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:50:55,964 [WARNING] log 22656 37336 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:50:56,003 [WARNING] log 22656 30424 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:50:56,046 [WARNING] log 22656 37336 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:50:56,056 [WARNING] log 22656 30424 Not Found: /fonts/hkgrotesk-bold-webfont.woff
